authorid,bookid,authorname
0,0,t. s. eliot
0,69,t. s. eliot
0,489,t. s. eliot
0,1088,t. s. eliot
0,1185,t. s. eliot
0,1341,t. s. eliot
0,1562,t. s. eliot
0,1614,t. s. eliot
0,895,t. s. eliot
0,830,t. s. eliot
0,1880,t. s. eliot
0,319,t. s. eliot
0,2070,t. s. eliot
0,2148,t. s. eliot
0,1120,t. s. eliot
0,2026,t. s. eliot
0,968,t. s. eliot
0,2648,t. s. eliot
0,2759,t. s. eliot
0,61,t. s. eliot
0,2935,t. s. eliot
0,3089,t. s. eliot
0,3314,t. s. eliot
0,25,t. s. eliot
0,3260,t. s. eliot
0,3539,t. s. eliot
0,1125,t. s. eliot
1,1,george orwell
1,1135,george orwell
1,1223,george orwell
1,89,george orwell
1,1718,george orwell
1,1731,george orwell
1,284,george orwell
1,887,george orwell
1,554,george orwell
1,449,george orwell
1,2026,george orwell
1,61,george orwell
1,2870,george orwell
1,1225,george orwell
1,3141,george orwell
1,296,george orwell
1,3405,george orwell
1,25,george orwell
1,3508,george orwell
2,2,edgar rice burroughs
2,69,edgar rice burroughs
2,87,edgar rice burroughs
2,100,edgar rice burroughs
2,110,edgar rice burroughs
2,128,edgar rice burroughs
2,156,edgar rice burroughs
2,160,edgar rice burroughs
2,198,edgar rice burroughs
2,201,edgar rice burroughs
2,214,edgar rice burroughs
2,170,edgar rice burroughs
2,257,edgar rice burroughs
2,276,edgar rice burroughs
2,302,edgar rice burroughs
2,335,edgar rice burroughs
2,340,edgar rice burroughs
2,350,edgar rice burroughs
2,147,edgar rice burroughs
2,366,edgar rice burroughs
2,319,edgar rice burroughs
2,428,edgar rice burroughs
2,441,edgar rice burroughs
2,479,edgar rice burroughs
2,489,edgar rice burroughs
2,498,edgar rice burroughs
2,501,edgar rice burroughs
2,504,edgar rice burroughs
2,505,edgar rice burroughs
2,524,edgar rice burroughs
2,525,edgar rice burroughs
2,531,edgar rice burroughs
2,534,edgar rice burroughs
2,537,edgar rice burroughs
2,538,edgar rice burroughs
2,545,edgar rice burroughs
2,552,edgar rice burroughs
2,564,edgar rice burroughs
2,48,edgar rice burroughs
2,574,edgar rice burroughs
2,599,edgar rice burroughs
2,615,edgar rice burroughs
2,617,edgar rice burroughs
2,14,edgar rice burroughs
2,443,edgar rice burroughs
