copyid,bookid
30577519075,0
30726857697,1
6289006299,2
30354314363,3
30428585060,4
30636277564,5
30473751592,6
30337423703,7
14883183609,8
98082475,9
30723122513,10
823826796,11
822212931,12
30095710798,13
30418872003,14
30632395990,15
30287631422,16
1550125451,17
24246484,18
30266962238,19
30697356726,20
18385031906,21
30305442772,22
10888942506,23
30137477279,24
30137469766,25
189472654,26
22916774504,27
22422624086,28
30662833572,29
30614776407,30
30737952910,31
11380859030,32
30694937015,33
30671520483,34
30140241473,35
30554055674,36
30615204321,37
823293040,38
30000214918,39
30362456248,40
30665742486,41
30665976502,42
22543314164,43
30699156943,44
30265372055,45
22879541801,46
30712311881,47
30015358564,48
30287592558,49
30749797369,50
30697816940,51
30570556952,52
30095683067,53
30652067418,54
30028993415,55
30359738117,56
30329763735,57
30737698817,58
30686232758,59
30425838269,60
30737743689,61
30183179393,62
30320983832,63
30137478754,64
6774804172,4
22648683565,66
22494417343,67
8246190622,68
30604786599,69
22513525406,70
5832979961,71
2795338706,72
30381402514,73
30429762138,74
998637035,75
2671035441,76
3654291430,77
30137539540,78
30137477804,79
30686147550,80
30699880571,81
30037449660,82
30407712304,83
30282570146,84
30737194530,85
30736082254,86
30648474659,87
30137491656,88
30406109942,89
30733118490,90
30053403427,91
30602634771,92
19062008056,93
30137494440,94
18458388866,95
10436241196,96
30739474960,97
30137473206,98
30739083505,99
30644172242,100
30739950352,101
30121598318,102
30575915990,103
30717116979,104
30203092696,105
30744988985,106
30310720384,107
30647132083,108
30669036419,109
30268656684,110
30704861605,111
22615210486,112
30531346651,113
607648076,37
30708361006,115
30266983201,116
30377938178,117
30699305106,118
30699458808,119
30637134911,120
30709737079,121
30309832356,122
22299303321,123
30595966061,124
30568793746,125
30740400350,126
30735397395,127
30556606540,128
30577545886,129
22769487174,130
30716428273,131
30127853508,132
30733293954,133
19095751319,134
30723439423,135
15362937128,136
30749307377,137
30415626040,138
30712018015,139
10301020323,140
30275974063,141
114761838,142
684210019,27
22420062805,144
3001480206,145
30666564546,61
30228415401,147
14407574795,148
30667604154,104
30687961273,150
30734501872,151
30733616052,152
30281998593,153
30714902240,154
30736083255,155
30736520672,156
22460401805,157
1284941630,158
30740021376,159
30324233101,160
30356009620,161
2337216202,27
30651832922,163
544738317,164
30651516898,165
22719066369,166
19016533949,167
22789582708,168
30027561735,169
30711417302,170
30137495559,171
30621293980,102
30150294488,173
30694833960,174
30230577991,175
30737438311,176
22457824068,177
21337423311,178
22552642457,179
30364452564,180
30711207118,181
7059163101,182
30571389945,183
30466178294,147
30687807982,150
30322074022,151
22665761592,187
30443444031,188
12266457281,189
30271292761,190
30685407896,11
30661431097,192
1115359369,193
30604210482,194
30742905930,195
30268484086,196
30005420507,197
30268503328,198
18670992715,178
30259804923,200
30618024753,201
30738811879,202
4800293611,203
10523283000,204
30110201905,205
11144279544,206
30582626647,207
30580093443,208
30057305211,209
1239335062,210
30737970613,211
30747390092,212
30587436982,213
30109124174,214
30575242715,40
30663351563,216
46718605,217
30599151486,218
22420041337,32
30588282465,66
30590799112,221
22299303250,222
344406900,223
11028834911,224
30591014746,225
30137492539,226
1329938320,227
30740123224,228
30694611592,229
22408985165,230
30197432915,231
30457658985,232
30652282012,233
30532009766,234
30740925296,235
22859119226,236
30435374169,237
30697302406,238
30646187673,170
30626768990,240
30716996565,241
30509889426,242
21050369474,243
40813675,244
30415047848,39
30637735652,156
30745968139,247
30509620097,248
30231736183,249
30357780594,250
30043939509,251
30523278020,252
633199459,253
30577492549,254
30137500277,255
30749640801,256
30690843618,257
30698085470,258
30728851749,259
30709066755,260
9393539240,261
30688895014,262
14871608608,167
30435106493,264
30739086975,265
17764494169,266
5064367118,267
25847721,268
20175045909,269
30029272789,270
30461486152,119
30699613723,104
19739115009,178
30659362866,274
30473471035,275
30694769362,276
22401195877,277
22843857327,278
30722927985,279
30486448234,280
30741543462,281
30725378274,151
30585401520,283
30715437196,284
30137503012,285
30711577499,154
1960367911,287
30573251856,288
30743477989,289
30196014724,290
30737293692,291
30704999104,292
4818056145,293
30723751050,294
30717417732,295
30725912905,296
30696231202,297
30272458924,298
30247698777,299
1302998503,300
30267959290,301
2795338714,302
21778647822,303
30137537842,304
30699234738,305
13775122406,306
1173875456,307
30152958171,308
30749579524,309
30723005572,126
59774732,311
30137481206,312
30549198023,313
30361293933,314
30367742933,20
30711004495,316
21815712871,317
10809012555,318
20255302976,319
19176555837,320
11484784088,321
30408501711,322
30665138860,11
30537882309,324
11230005921,325
30641107562,326
30612308762,327
1332186599,328
30219324066,329
30240773316,330
2808967626,331
16601861016,332
30627202852,333
30449762981,334
8287033199,335
30698862500,102
30443549242,337
30317299379,338
30220749798,339
30081841788,340
30211999832,341
30380185734,342
22786083983,343
30268660201,110
30728311263,316
30738770497,346
21303620300,347
30574893008,348
30137478272,349
30724605991,350
30697482032,351
30423330766,352
30455054143,48
1189096663,354
30709623518,355
17696362080,356
30747905988,357
30739507889,358
30623672915,359
30107584278,156
30695379950,147
30693780549,201
30666029271,363
9841085388,364
22870036444,365
30037646311,366
30734796063,367
30699617283,368
30739366106,369
10143453335,38
30388205260,156
20786306689,224
22655464749,373
30265140479,374
30697976951,375
30740102781,376
30037829003,377
30310719495,378
30610906983,379
17113280935,380
30737755197,381
22413833850,382
30740302761,383
30512664529,384
18881098334,385
30741076802,109
30610813171,387
30297674658,388
14461306502,389
30264707718,390
30265656701,391
30137568612,392
18354419443,393
30564861907,102
69200906,395
887444363,396
22446180899,397
30687840922,150
22665761599,399
30503773406,400
14387395892,401
30575183071,402
14760079735,403
30128892406,404
9129035422,405
1167839056,406
30268990770,407
30616155790,408
30271300060,409
30718318090,410
1276326196,411
30663647828,412
11672098347,413
30138198842,48
733629620,415
22832680654,416
30081968584,250
30508728017,418
30592961305,66
22505002886,319
22864299824,421
20901949556,422
30223640558,423
30737477296,424
4438884576,76
22903503869,426
30560226658,427
30265656702,428
30716039028,429
30608064210,430
30526715675,431
30697725272,432
22920435840,306
18059780116,434
30467346924,435
30429627216,436
30519370763,437
30739093721,438
30137524497,439
30720535119,440
30695691023,441
30492338849,442
2668030251,443
9393539241,248
30635726921,445
30536795653,446
13242169842,447
30699210314,448
30611095641,449
30631549724,450
30081528101,451
96728547,452
9994028217,453
30452707454,62
30331447564,455
30551096218,456
30575356422,156
30740332284,458
22561590994,459
30262334579,460
30645418748,318
30744590446,462
30519830708,463
19559446,464
30690941775,465
7195463142,466
30584465208,32
30632190818,468
30699596227,469
30336147779,470
20561629548,471
30560237127,472
3065816212,28
22665761594,474
30711911351,475
12989079999,476
30744100669,126
7204212085,478
20763549628,479
30315259206,480
30618449371,151
21838804627,482
30575376123,483
22903497230,484
30657354415,485
30327696752,486
20167376980,487
30127701519,156
30331824529,489
30350286961,490
