bookid,title,publisher,pubdate,isbn10,isbn13
0,the waste land prufrock and other poems ,Dover,0,486400611,9780490000000
1,a collection of essays,Mariner,1970.0,156186004,9780160000000
2,beyond the farthest star ,Ace,1973.0,0,0
3,the importance of being earnest and other plays salome lady windermeres fan ,Signet,0,451525051,9780450000000
4,thongor against the gods,Warner,0,446941786,9780450000000
5,book mailer from houghton mifflin,Houghton,1955.0,0,0
6,im nobody who are you poems of emily dickinson for children ,Stemmer,0,916144224,9780920000000
7,the shuttered room and other tales of horror,Beagle,1971.0,0,0
8,the arkham collector number four winter 1969,Arkham,1969.0,0,0
9,legend of lost earthalpha centauri or die,Ace,1963.0,0,0
10,more murder most cozy more mysteries in the classic tradition ,Signet,0,451176499,9780450000000
11,when the green star calls,DAW,1973.0,0,0
12,the god of the witches,Anchor,1960.0,0,0
13,three gothic novels,Dover,0,486212327,9780490000000
14,lost world of time,Signet,1969.0,045140680X,9780450000000
15,the years best fantasy stories 2 daw 205,DAW,0,4511248125,9784510000000
16,mystery of the white monkeys,Moody,0,0,0
17,the age of chivalry and legends of charlemagne or romance of the middle ages,A,1962.0,0,0
18,the dwellers on the nile the life history religion and literture of the ancient egyptians,Dover,1977.0,0,0
19,christianity and recent speculations six lectures by ministers of the free church leather bound,0,0,0,0
20,dracula ,Random,0,394848284,9780390000000
21,fantastic universe junejuly 1953,King,1953.0,0,0
22,ariel the book of fantasy volume 4,Ariel,0,0,0
23,worlds of if science fiction may 1967 vol 17 no 5,Galaxy,1967.0,0,0
24,the dwellers on the nile life history religion and literature of the ancient egyptians,dover,1977.0,0,0
25,the coming of the terrans ,ACE,1967.0,0,0
26,tolkien a look behind the rings,Ballantine,1969.0,0,0
27,the shadow in the glass,Duell,1963.0,0,0
28,the devils dictionary,Dover,1971.0,486204871,9780490000000
29,the great cryptogram francis bacons cipher in the socalled shakespeare plays,R,1888.0,0,0
30,bulfinchs mythology volume 1 the age of fable,Signet,1962.0,451624440,9780450000000
31,social england illustrated a collection of xviith century tracts with an introduction ,0,0,1333681992,9781330000000
32,tower at the edge of time,Belmont,1972.0,0,0
33,cat among the pigeons a hercule poirot mystery ,William,0,62073796,9780060000000
34,persuasion ,Bantam,0,553211374,9780550000000
35,weekly reader books presents harveys marvelous monkey mystery,Houghton,0,0,0
36,the magazine of fantasy and science fiction july 1974 fathers tale once t,Mercury,1974.0,0,0
37,caesars column a story of the twentieth century,Wildside,0,1434441679,9781430000000
38,bulfinchs mythology  the age of fable the age of chivalry legends of charlemagne,Spring,1969.0,0,0
39,emily dickinson,Dell,1967.0,0,0
40,great expectations,0,0,866119728,9780870000000
41,tarzan the untamed ,Ballantine,0,345067517,9780350000000
42,the cocktail party,Mariner,1964.0,156182890,9780160000000
43,the monk and the hangmans daughter and other stories  ,Avon,1955.0,0,0
44,robinhound crusoe ,Lyrick,0,1570642710,9781570000000
45,the works of samuel johnson vol5 leather bound,0,0,0,0
46,space time  crime,Paperback,0,0,0
47,fantastic fables,Dover,0,048622225X,9780490000000
48,a tale of two cities ,Signet,0,451530578,9780450000000
49,the dancers of noyo,Ace,0,0,0
50,journey to the underground world,Penguin,1979.0,879974990,9780880000000
51,the lord of the rings,Houghton,0,0,0
52,the kosmic mind esoteric and occult psychology,0,0,1092430423,9781090000000
53,columbus and the new world,Farrar,1957.0,0,0
54,king arthur tales from the round table ,Dover,0,486421805,9780490000000
55,the night of the wolf,Ballantine,0,0,0
56,the book of skaith the adventures of eric john stark,Nelson,1976.0,0,0
57,measure for measure ,Cambridge,0,521294010,9780520000000
58,tarzan triumphant,Random,1975.0,345244850,9780350000000
59,selfreliance and other essays ,Dover,0,486277909,9780490000000
60,if worlds of science fiction july 1952,Quinn,1952.0,0,0
61,favorite poems of emily dickinson,Random,1930.0,517637510,9780520000000
62,on the fringe,Dial,0,803726562,9780800000000
63,the warrior of worlds end carter lin,DAW,1974.0,879974206,9780880000000
64,tower at the edge of time ,midwood,0,0,0
66,the casebook of solar pons ,Pinnacle,1975.0,523005857,9780520000000
67,people of the talisman  the secret of sinharat ,Ace,1964.0,0,0
68,bolts of melody,Harper,1945.0,0,0
69,the return of tarzan ,Ballantine,1972.0,345027027,9780350000000
70,bulfinchs mythology the age of fable with a foreword by robert graves,International,1968.0,0,0
71,alpha centauri  or die,Ace,1963.0,0,0
72,alpha centauri or die  legend of lost earth,Ace,1963.0,0,0
73,the city outside the world,Berkley,1977.0,425035492,9780430000000
74,golden age of myth  legend,HARRAP,0,0,0
75,weird tales may 1950,Weird,1950.0,0,0
76,worlds of tomorrow,Berkley,1958.0,0,0
77,lars bo,Selskabet,1966.0,0,0
78,the best of planet stories 1,Ballantine,1975.0,0,0
79,outworlder,Lancer,1971.0,0,0
80,the beasts of tarzan 3 ,Ballantine,1973.0,345227034,9780350000000
81,halil the peddler by maurus jokai fiction political action  adventure fantasy,Aegypan,0,1603121307,9781600000000
82,from the caves and jungles of hindostan ,Theosophical,1975.0,835602192,9780840000000
83,bulfinchs mythology the age of fablethe legend of charlemagnethe age of chivalry ,San,1959.0,808501186,9780810000000
84,science wonder quarterly pulp volume 1  3 spring 1930 ,N,1930.0,0,0
85,bundle principles of chemistry the molecular science  owl ebook printed access card,0,0,538776889,9780540000000
86,thongor and the wizard of lemuria ,Berkley,1969.0,042501777X,9780430000000
87,a christmas carol ,Simon,0,1416534784,9781420000000
88,time to come,tower,1965.0,0,0
89,the lurker at the threshold,Panther,1970.0,586033459,9780590000000
90,hard times,Random,1964.0,553210165,9780550000000
91,jane austens pride and prejudice ,Monarch,0,671006010,9780670000000
92,the moon tenders,Duell,1958.0,0,0
93,the only place we live wood engravings by frank utpatel,The,1966.0,0,0
94,time to come ,berkley,1958.0,0,0
95,if worlds of science fiction january jan 1967 ,Galaxy,1967.0,0,0
96,bulfinchs mythology the age of fable the age of chivalry legends of charlemagne,Thomas,1947.0,0,0
97,passenger to frankfurt,0,0,671774344,9780670000000
98,people of the talisman  secret of sinharat,ace,0,0,0
99,el gos dels baskerville bachillerato material auxiliar,0,0,843163474X,9788430000000
100,the voice of the silence being chosen fragments from the book of the golden precepts,0,0,191297049X,9781910000000
101,christmas carol  the original manuscript,Dover,1605.0,486209806,9780490000000
102,great expectations ,Sterling,0,1593080069,9781590000000
103,scoobydoo and the phony fortuneteller ,Scholastic,0,439188792,9780440000000
104,selected poems  letters of emily dickinson,Anchor,1959.0,038509423X,9780390000000
105,girl behind the door,Rain,0,149510608X,9781500000000
106,knight of shadows,William,0,688087264,9780690000000
107,lost on venus ,Ace,1935.0,0,0
108,tutankhamen amenism atenism and egyptian monotheism w heiroglyphic texts of hymns to aman and aten,Bell,0,0,0
109,postern of fate,Bantam,1974.0,553100661,9780550000000
110,ragnarok the age of fire and gravel by ignatius donnelly  leather bound,0,0,0,0
111,the extraordinary cases of sherlock holmes ,Puffin,0,140367055,9780140000000
112,the sword of rhiannon,Ace,1979.0,441791425,9780440000000
113,the sign of four ,Headline,0,755334493,9780760000000
115,the midnight people  dracula syndrome  from bram stoker to ray bradbury,Everest,1975.0,903925885,9780900000000
116,nightmare tales leather bound,0,0,0,0
117,the artificial man and other stories ,0,0,1948742322,9781950000000
118,books and reading a book of quotations ,Dover,0,486424634,9780490000000
119,frankenstein sparknotes literature guide ,SparkNotes,0,1411469542,9781410000000
120,the starmen of llyrdis,Ballantine,1976.0,345246683,9780350000000
121,savage pellucidar ,Ballantine,0,345366735,9780350000000
122,the hounds of skaith the adventures of eric john stark 2,Ballantine,1974.0,0,0
123,the saint mystery magazine september 1961 ,Sales,1961.0,0,0
124,new worlds for old,Ballantine,0,034502365X,9780350000000
125,literature of the ancient egyptians large print,0,0,1673586139,9781670000000
126,pride and prejudice ,Sterling,0,1593080204,9781590000000
127,thirteen at dinner,Dell,1969.0,440187427,9780440000000
128,tarzan the untamed,Random,1979.0,345288688,9780350000000
129,pride and prejudice sparknotes literature guide ,SparkNotes,0,141146978X,9781410000000
130,other worlds science stories  october 1951  vol 3 no 6 featuring i flew in a flying saucer,Clark,0,0,0
131,devils dictionary the,The,1910.0,760793557,9780760000000
132,legends of the gods,Createspace,1912.0,1530584736,9781530000000
133,the sword woman,Penguin,1201.0,425044459,9780430000000
134,the coming of the terrans,Ace,1967.0,0,0
135,the classic mysteries of sherlock holmes the adventures of sherlock holmesthe hound of the baskervillesthe memoirs of sherlock holmes,Borders,1900.0,1587260476,9781590000000
136,cosmo e su marte dominerai,Ponzoni,1963.0,0,0
137,thongor at the end of time,Grand,1968.0,446943320,9780450000000
138,bulfinchs mythology illustrated,Avenel,1979.0,517274159,9780520000000
139,the dream quest of unknown kadath  h p lovecraft  ballantine adult fantasy series ,Ballantine,1971.0,0,0
140,if 1974 ,UPD,1974.0,0,0
141,swords against tomorrow,Signet,1970.0,0,0
142,how in the night the wind  first publication in decade vol 2 no 2,Chicago:,1940.0,0,0
144,the sword of rhiannon cosmic peril in a lost world,Ace,1953.0,0,0
145,fox the dog and the griffin,Doubleday,1966.0,0,0
147,organ building and design,George,1976.0,0,0
148,the adventures of solar pons ,0,0,0,0
150,the egyptian book of the dead the papyrus of ani in the british museum,Dover,1967.0,048621866X,9780490000000
151,the hound of the baskervilles ,Dover,0,486282147,9780490000000
152,mysterious adventures of sherlock holmes the,Puffin,1920.0,140372628,9780140000000
153,nights yawning peal,New,0,0,0
154,the mabinogion ,Dover,0,486295419,9780490000000
155,mansfield park ,Signet,1964.0,451525019,9780450000000
156,bulfinchs mythology,Spring,1963.0,0,0
157,the survivor and others ,Ballantine,1957.0,0,0
158,les pillards de skaith,LE,1979.0,0,0
159,jane austens the history of england,Algonquin,1110.0,1565120558,9781570000000
160,isis unveiled vol i  ii,0,0,1604590882,9781600000000
