copyid,condition,price,signed,dustjacket,binding,description
30577519075,VERY GOOD,US$ 3.65,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30726857697,Good,0,0,0,paperback,0
6289006299,Good,US$ 2.99,0,0,paperback,Cover price 75 cents.
30354314363,VERY GOOD,US$ 3.80,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30428585060,GOOD,US$ 4.87,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30636277564,Very Good,US$ 14.95,0,0,paperback,"For the August Derleth - Arkham House collector who has everything: a book mailer from Houghton Mifflin of Cambridge, Massachsetts, addressed to August Derleth of Sauk City, Wisconsin."
30473751592,GOOD,US$ 4.29,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30337423703,Good,US$ 10.00,0,0,paperback,"6 tales of unspeakable horror, mostly by Derleth from HPL's notes. #6 of the Beagle series of reprints of Arkham House titles, first printing thus. Pocket-sized paperback. Covers rubbed, ink name inside front cover, paper tanned, check-mark on title of first story on contents page. Text clean; [6], 166 pages + 4 pages ads. Size: 4�"" by 7""."
14883183609,Good,US$ 14.57,0,No Jacket,paperback,Inked math on rear cover.
98082475,0,US$ 7.50,0,0,paperback,1st ed./Rpt. #F-187.PB. Ace Double. VG. .
30723122513,Good,US$ 3.98,0,0,0,"Item in good condition. Textbooks may not include supplemental items i.e. CDs, access codes etc."
823826796,Good,US$ 1.99,0,0,paperback,"lease email us if you would like further information or if you would like us to send you a picture of the book. Thanks for looking! Size: 16mo - over 5�"" - 6�"" tall."
822212931,0,US$ 7.50,0,0,paperback,"Softcover. Ex-seminary library copy. Old paper label on spine, name stamped on title page, otherwise a clean, tight book in good condition."
30095710798,Very Good,US$ 6.94,0,0,paperback,"A copy that has been read, but remains in excellent condition. Pages are intact and are not marred by notes or highlighting, but may contain a neat previous owner name. The spine remains undamaged. At ThriftBooks, our motto is: Read More, Spend Less."
30418872003,VERY GOOD,0,0,0,paperback,0
30632395990,Good,US$ 8.96,0,0,paperback,"A copy that has been read, but remains in clean condition. All pages are intact, and the cover is intact. The spine may show signs of wear. Pages can include limited notes and highlighting, and the copy can include previous owner inscriptions. At ThriftBooks, our motto is: Read More, Spend Less."
30287631422,VERY GOOD,US$ 3.51,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
1550125451,Good,US$ 10.00,0,0,paperback,spine creases; prior owner's name inked on front end page.
24246484,0,US$ 16.50,0,Dust Jacket Included,hardcover,"Very good lacking dust wrapper Reprint Wrappers 8vo xxxii, 326p [wrappers] Corners bumped, spine sunned, light edge wear, corners rubbed. Reprint of the 1926 edition."
30266962238,New,US$ 31.28,0,0,leather bound,"CHOOSE ANY LEATHER COLOR OF YOUR CHOICE WITHOUT ANY EXTRA CHARGES, JUST OPEN ""View Larger Image"" BUTTON JUST BELOW THE BOOK IMAGE AND MAIL US YOUR CHOICE. Our book has Leather Binding on Spine and Corners with Golden Leaf Printing on round Spine. Reprinted in (1866) with the help of original edition published long back (1866). This book is printed in black & white, sewing binding for longer life, Printed on high quality Paper, re-sized as per Current standards, professionally processed without changing its contents. As these are old books, we processed each page manually and make them readable but in some cases some pages are blur or missing or black spots. If it is multi volume set, then it is only single volume, if you wish to order a specific or all the volumes you may contact us. We expect that you will understand our compulsion in these books. We found this book important for the readers who want to know more about our old treasure so we brought it back to the shelves. Hope you will like it and give your comments and suggestions. Lang: -eng , Pages 212 , Print on Demand.{FOLIO EDITION IS ALSO AVAILABLE.};"
30697356726,VERY GOOD,US$ 3.80,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
18385031906,Good,US$ 25.00,0,No Jacket,paperback,"Fantastic Universe Science Fiction digest magazine for June-July 1953, volume 1, number 1.Good condition. A more complete description of contents and condition and/or an image of the front cover is available upon request."
30305442772,GOOD,US$ 3.51,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
10888942506,Near Fine,US$ 2.00,0,0,paperback,Square tight binding. Tanned pages. Bright cover. Slight tear to lower spine. A sharp copy. Cover Art by Jack Gaughan; Edited by Frederik Pohl; Editorial by Frederik Pohl; Sf Superclubs by Lin Carter; Spaceman! by Keith Laumer; The Hole by B. K. Filer; The Long Slow Orbits by H. H. Hollis; The Road To The Rim by A. Bertram Chandler; The Robots Are Here by Terry Carr; The Youth Addicts by Charles W. Runyon.
30137477279,0,US$ 4.00,0,0,paperback,"fine trade paperback,"
30137469766,0,US$ 10.00,0,0,paperback,"G-669, near fine, unread (COLLECTION OF 5 STORIES), paperback,"
189472654,Good,US$ 2.00,0,0,paperback,Soft Cover. Good. 1st. Name & address inside front cover. Sl creased front cover was once unattached & is now mended with clear plastic tape.
22916774504,0,US$ 27.50,0,Dust Jacket Included,hardcover,"""A fictionalized version of the life of Nelson Dewey, the first governor of the state of Wisconsin, whose home, Stonefield, is now a museum at Cassville"" (WILSON 575). First Printing. Octavo; black cloth, with titling and decorations stamped in green and gilt on spine and front cover; dustjacket; [viii],471pp. Touch of biopredation to cloth at extremities; Very Good+. Dustjacket is price-clipped, with some wear and dustiness overall; Very Good+."
22422624086,Used; Good,US$ 4.95,0,0,paperback,Private owners shelf number taped to spine. Cover clean with small scuff on front. No writing or marks observed in the text. Binding is tight and square.
30662833572,Very Good-,US$ 100.00,0,No Dust Jacket,hardcover,"Thick Vintage volume. Some foxing. General wear comensurate with age, but overall a solid example of the First Edition. ; 9.5 X 6.5 X 2.3 inches; 1038 pages."
30614776407,Good,US$ 1.99,0,0,paperback,This is a used book in good condition and may show some signs of use or wear . This is a used book in good condition and may show some signs of use or wear .
30737952910,Good,US$ 4.00,0,0,0,"Former Library book. Shows some signs of wear, and may have some markings on the inside."
11380859030,Good.,US$ 2.00,0,0,paperback,"Signed by the previous owner on the title page, and some random marks on the first end page, otherwise clean."
30694937015,Good,US$ 99.99,0,Dust Jacket Included,hardcover,"Paperback This item shows wear from consistent use but remains in good readable condition. It may have marks on or in it, and may show other signs of previous use or shelf wear. May have minor creases or signs of wear on dust jacket. Packed with care, shipped promptly."
30671520483,VERY GOOD,US$ 4.46,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30140241473,VERY GOOD,US$ 3.32,0,0,unknown binding,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30554055674,Good,US$ 2.00,0,0,single issue magazine,"Prompt reliable service mailed next business dayLightly worn cover, faint crease on spine, tight binding, tanning pages, clean text Prompt, reliable service, shipped next business day. Int'l mailed via first class or priority."
30615204321,Brand New,US$ 23.99,0,0,paperback,In Stock.
823293040,Very Good,US$ 12.00,0,Good,hardcover,"BH/DJ, VG+/G, 679pp. Orange dj. clean and tight copy. At Streamside Books each book is individually selected and accurately graded."
30000214918,Good,US$ 1.00,0,Good,paperback,selected with an introduction and notes by Malcolm Brinnin.
30362456248,VeryGood,US$ 4.34,0,0,library binding,"A well-cared-for item that has seen limited use but remains in great condition. The item is complete, unmarked, and undamaged, but may show some limited signs of wear. Item works perfectly. Pages are intact and not marred by notes or highlighting. The spine is undamaged."
30665742486,GOOD,US$ 5.76,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30665976502,Very Good,US$ 3.79,0,0,paperback,
22543314164,Very Good +,US$ 4.95,0,0,paperback,"127 pgs. COLLECTION OF 8 STORIES >> Minor cover creasing; small tape repair to interior front cover. Size: 16mo - over 5�"" - 6�"" tall."
