"AuthorName","Title"
t. s. eliot,the waste land prufrock and other poems 
george orwell,a collection of essays
andrew offuttrichard lyon,a collection of essays
edgar rice burroughs,beyond the farthest star 
oscar wilde,the importance of being earnest and other plays salome lady windermeres fan 
edgar rice burroughs,thongor against the gods
lin carter,thongor against the gods
agatha christie,thongor against the gods
thomas bulfinch,thongor against the gods
leigh brackett,thongor against the gods
ambrose bierce,thongor against the gods
jane austen,thongor against the gods
fritz leiber,thongor against the gods
ignatius. donnelly,thongor against the gods
 giles greenfield,thongor against the gods
orbit,thongor against the gods
charles,thongor against the gods
 fairclough dickens,thongor against the gods
 kris neville,thongor against the gods
august derleth,book mailer from houghton mifflin
emily dickinson,im nobody who are you poems of emily dickinson for children 
 rex schneider,im nobody who are you poems of emily dickinson for children 
h. p. lovecraft,the arkham collector number four winter 1969
 august derleth,the arkham collector number four winter 1969
august derleth,more murder most cozy more mysteries in the classic tradition 
g. mcdonald/leigh. wallis/brackett,more murder most cozy more mysteries in the classic tradition 
lin carter,when the green star calls
agatha christie,when the green star calls
p. d. james,when the green star calls
ruth rendell,when the green star calls
melba marlett,when the green star calls
john h. dirck,when the green star calls
thomas bulfinch,when the green star calls
ignatius donnelly,when the green star calls
helena petrovna blavatsky,when the green star calls
if,when the green star calls
brackett,when the green star calls
 leigh,when the green star calls
ultimate publishing co.,when the green star calls
johnathan swift,when the green star calls
 illustrated by don maitz,when the green star calls
 illustrated by maitz,when the green star calls
don,when the green star calls
jeanette windle,when the green star calls
edgar rice burroughs,lost world of time
august derleth,lost world of time
emily dickinson,lost world of time
margaret alice murray,lost world of time
candlish,lost world of time
 robert smith,lost world of time
smith,lost world of time
 thomas,lost world of time
rainy,lost world of time
 robert,lost world of time
blaikie,lost world of time
 william garden,lost world of time
crichton,lost world of time
 andrew,lost world of time
duns,lost world of time
 john,lost world of time
,lost world of time
leigh brackett,lost world of time
ambrose bierce,lost world of time
ignatius donnelly,lost world of time
jane austen,lost world of time
charles dickens,lost world of time
john keats,lost world of time
 mark twain,lost world of time
 virginia woolf,lost world of time
 andrew carnegie,lost world of time
 theodore roosevelt,lost world of time
 james thurber,lost world of time
 oprah winfrey,lost world of time
 carl jacobi,lost world of time
derleth august,lost world of time
leigh,lost world of time
tama montgomery,lost world of time
h.p. lovecraftselected by august derleth,lost world of time
lovecraft h.p,lost world of time
lin,mystery of the white monkeys
emily dickinson,the age of chivalry and legends of charlemagne or romance of the middle ages
margaret alice murray,the age of chivalry and legends of charlemagne or romance of the middle ages
 daniel defoe,the age of chivalry and legends of charlemagne or romance of the middle ages
august,the age of chivalry and legends of charlemagne or romance of the middle ages
amelia b. edwards,the age of chivalry and legends of charlemagne or romance of the middle ages
 walter scott,the age of chivalry and legends of charlemagne or romance of the middle ages
 algernon blackwood,the age of chivalry and legends of charlemagne or romance of the middle ages
 edith wharton,the age of chivalry and legends of charlemagne or romance of the middle ages
steve journal. eisner,the age of chivalry and legends of charlemagne or romance of the middle ages
brother antoninus jerome mazzaro,the age of chivalry and legends of charlemagne or romance of the middle ages
e. f. bleiler,the dwellers on the nile the life history religion and literture of the ancient egyptians
