"AuthorName","COUNT(*)"
,133
 ,6
 .,6
 1796-1867 [author],1
 1796-1867.,1
 1831-1901,1
 1831-1901],1
 1842-1914,2
 1909-1971,1
 [from old catalog],1
 [trans. ],1
 a bradshaw,2
 a.,1
 a. bertram chandler,1
 a. c. crispin,1
 a. e. van / leinster,1
 a. e. van vogt,4
 a. r. denison,1
 a. ruste,1
 a.a. hayes,1
 a.c. frieden,1
 a.e. van vogt,2
 a.e.van vogt,3
 a.l. lomax,1
 a.m. sullivan,1
 aage hansen ,1
 abraham et chwat,1
 adam chase,1
 adam rann,1
 adapted by david thompson,1
 additions by william klapp.,1
 adolphe danziger de cast,2
 afterward by edgar johnson,1
 afterwordbibliography by martin bucco,1
 agatha,11
 agatha christie,8
 agatha et log�,3
 alan / meyer,1
 alan burt akers,1
 alan e. ,1
 alan e. nourse,1
 alan nourse,1
 alan richardson,3
 albert e. cowdrey,1
 albert halper,1
 albert richard wetjen,1
 alden h.,1
 alden r. carter,8
 alex goodwin,1
 alex kirs,1
 alexander pope,1
 alexandre,1
 alfred / derleth,1
 alfred johannes,1
 alfred leete hampson,5
 alfred leeteited b,2
 alfred lord tennyson,1
 alfred w tatum,2
 algernon blackwood,9
 algeron blackwood,2
 algis budrys,1
 alice-mary schnirring,1
 allan eitzen,1
 allen j. hubin,1
 allen j. hubin [introduction],1
 allen tate,1
 allison v harding,1
 alois piringer,1
 alva mitchell,1
 alverne ball,1
 ambrose,7
 ambrose bierce,27
 ambrose) fadiman,1
 ambrose.,3
 ambrose/voss,1
 amelia b. edwards,9
 amy lowell,11
 andre norton,5
 andrew,22
 andrew // lyon,1
 andrew c. mccarthy,1
 andrew carnegie,3
 andrew crichton,9
 andrew hecht,1
 andrew j. offutt,4
 andrew marvell,1
 andrew wheatcroft,6
 andrewwheaton,1
 angel roberts,2
 angela,2
 angela johnson,8
 ann bridge,1
 anna erskine crouse,1
 anna quindlen,3
 anthony boucher,2
 anthony masters,2
 antonella caputo,1
 arnold m. auerbach,1
 arthur,10
 arthur burke,4
 arthur burks,8
 arthur c.,1
 arthur c. / jacobi,2
 arthur c. clarke,7
 arthur conan,33
 arthur conan doyle,23
 arthur gordon,1
 arthur j. burke,1
 arthur j. burks,1
 arthur machen,3
 arthur miller,1
