"Publisher","COUNT(*)"
,811
(Einband:,1
-,12
"1824",1
"1973",1
"1976",1
"1979",1
"1st",1
"45th",1
:,1
A,16
A&B,1
ABC-CLIO,1
ACE,17
AERIE,1
AIRMONT,1
AIRMOT,1
ALBIN,1
ALIANZA,5
ANAYA,1
Acclaim,2
Ace,226
Adamant,2
Advent,1
Adyar,2
Adyar-Verl,1
Adyar-Verlag,1
Aegypan,3
Aerie,2
Airmont,3
Akademisk,1
Akadine,1
Aladdin,4
Albin,1
Alexis,1
Alfaguara,1
Algonquin,1
Alianza,2
All,1
All-Fiction,1
Allison,1
Amaranth,1
American,3
Anchor,4
Andesite,8
Anthropologica,1
Anthropological,1
Anticipation,1
Antimicrobial,1
Applause,1
Appleton,1
Aquamarin-,1
Arbor,4
Arcadia,1
Archaeologia,2
Archibald,2
Ariel,1
Arkham,21
Arktos,1
Armchair,1
Armenia,1
Arno,1
Arsenal,3
Aspect,1
Atheneum,1
Atlantic,1
Atriad,1
August,1
Avenal,1
Avendia,1
Avenel,7
Avon,23
Award,1
Ayer,2
Aziloth,1
B,1
B&H,1
BALLANTINE,8
BANTAM,1
BARNES,2
BARONET,1
BBC,4
BEAGLE,1
BELL,1
BELMONT,2
BERKLEY,6
BRUGUERA,1
Back,7
Baen,2
Ballantine,193
Ballentine,3
Bangkok,1
Banjamin,1
Bantam,40
Barcelona:,1
Barnes,19
Barron's,2
Basic,2
Beagle,11
Beaver's,1
Belknap,1
Bell,10
Belmont,37
Berbera,1
Bergisch,2
Berkeley,2
Berkley,57
Berlin,1
Best,5
Better,24
BiblioBazaar,2
BiblioGov,1
BiblioLife,3
Bibliotex,1
Biblioth�que,1
Biblo,1
Bison,2
Black,1
Bloomsbury,1
Blue,1
Bold,1
Bologna,1
Bonanza,2
Book,9
Book-of-the-Month,1
Boosey,1
Borders,2
Boston:,1
Boulevard,1
Bourgois,1
Bower,1
Bramhall,1
Brand:,1
Bresci,1
British,16
Britrish,1
Broadway,1
Brooks,1
Buffalo,1
Bulfinch,1
C,2
CANDLELIGHT,1
CARROLL,1
CASA,2
CHILTON,1
CLASSIC,1
COLOFON,1
CREATIVE,1
Calmann-Levy,1
Cambridge,5
Campfire,1
Canaveral,1
Candar,3
Candlelight,9
Candlewick,1
Capital,1
Carit,2
Carole,1
Carrit,1
Carroll,1
Castle,4
Catholic,1
Causeway,2
Cengage,2
Centaur,2
Center,2
Cerchio,10
Chaosium,2
Charles,14
Charter,1
Chicago,5
Chicago:,6
Chilton,3
Choice,1
Christian,2
Chronicle,4
Chrysalis,1
Cideb,1
Citadel,5
Citadel/,1
Civiliza��o,1
Clark,19
Clarkson,3
Cleveland,1
Cliffs,2
Club,2
Cluc,1
Coda,1
Coles,1
Collector's,2
Collier,7
Collier-Macmillan,2
Colonial,1
Columbia,1
Compass,1
Concord,1
Constable,6
Consul,5
Continental,1
Cool,1
Copenhagen,1
Corgi,3
Coronet,1
Coscom,2
Cosimo,2
Cosmos,1
Country,2
Courage,1
Coward,1
Coward-McCann,2
Crawford,2
CreateSpace,16
Createspace,10
Creative,7
Crest,2
Crime,2
Crowell-Collier,1
Crown,3
Culver,2
Curtis,1
D,9
DAVID,1
DAW,35
DC,1
DEL,1
DELL,8
DENOEL,1
DET,1
DK,1
DODD,1
DOUBLEDAY,1
DOVER,5
DSRS,1
Dale,1
Dalmatian,4
Dalmation,1
David,6
Davis,4
Daw,24
Deisenhofen,1
Del,27
Dell,84
Demco,1
Dent,1
Department,1
Derleth,1
Deseret,1
Deutscher,2
Dial,1
Digest,4
Digireads,1
Disney,7
Distributed,1
Dodd,16
Dodo,1
Doherty,6
Dorrance,1
Dorset,1
Doubleday,40
Doubleday/Curtis,1
Dove,1
Dover,119
Dramaline,1
Driftwind,1
Duel,1
Duell,17
Dundurn,1
Dutton,2
D�sseldorf,1
E,7
EDGE,1
EDICIONES,1
EDITIONS,3
EDWIN,1
ELL,1
END,1
Easton,1
Ecco,2
Echo,2
Eclipse,1
Ediciones,2
Edinburgh,4
Edinburgh:,5
Editions,4
Editora,2
Editorial,2
Edwin,4
Elkan-Vogel,1
English,1
Eric,1
Erich,2
Ernest,1
Eureka,7
Everest,1
Eyras,1
F,3
FAWCETT,1
FLAME,1
FONTANA,1
FONTANA/COLLINS,1
Faber,3
Facts,1
Fall,4
Fantasy,13
Farrar,7
Fawcett,17
Felmar,1
Feltrinelli,1
Fiction,9
Fictioneers,7
Fine,1
Fischer,1
Flame,1
Flammarion,4
Fleuve,3
Fontamara,1
Fontana,6
Forge,3
Forgotten,2
Four,5
Fourier,1
Franchise,1
Frank,1
Frankfurt,2
Franklin,1
Fratelli,1
Frederick,2
French,1
Fresco,1
Funk,3
Futura,3
Future,1
G,2
GALLIMARD,2
GReenwich,1
Galahad,2
Galaxy,21
Gallery,2
Gallimard,1
Garden,8
Gardners,2
Gareth,1
General,2
Geo,1
George,5
Glenn,1
Globe,1
Gnome,1
Gold,4
Goldmann,4
Gollancz,1
Gramercy,15
Granada,1
Grand,3
Graphic,2
Graz,1
Great,3
Green,1
Greenhaven,1
Greenhill,1
Greenwich,1
Greenwood,1
Gregg,2
Griffith,1
Grolier,1
Grosset,3
Grossett,1
Grupo,1
Guild,3
Gulf,1
G�rard,1
H,3
H-K,1
HARPER,1
HARRAP,1
HET,1
HEYNE,1
HOLT,1
Hachette,1
Haldeman-Julius,1
Hallmark,3
Hampshire,1
Hanro,14
Hansebooks,1
Harcourt,8
Harlequin,1
Harmony,1
Harper,21
Harper&Row,1
HarperCollins,17
HarperCollins/QPB,1
